Partido|Sexo|Diputados MR|Diputados RP|Total
 PAN|Mujeres|9|16|25
 PAN|Hombres|127|54|181
 PRI|Mujeres|19|13|32
 PRI|Hombres|113|66|179
 PRD|Mujeres|4|9|13
 PRD|Hombres|20|17|37
 PVEM|Mujeres|5|4|9
 PVEM|Hombres|1|7|8
 PT|Mujeres|1|1|2
 PT|Hombres|1|5|6
 Convergencia|Mujeres|0|0|0
 Convergencia|Hombres|0|3|3
 PSN|Mujeres|0|2|2
 PSN|Hombres|0|1|1
 PAS|Mujeres|0|1|1
 PAS|Hombres|0|1|1
TOTAL||300|200|500
